date,exchange,status,start_time,end_time,holiday_name
2000-01-17,NYSE,closed,,,Martin Luther King's Birthday
2000-02-21,NYSE,closed,,,Washington's Birthday
2000-04-21,NYSE,closed,,,Good Friday
2000-05-29,NYSE,closed,,,Memorial Day
2000-07-03,NYSE,short day,09:30,13:00,Independence Day
2000-07-04,NYSE,closed,,,Independence Day
2000-09-04,NYSE,closed,,,Labor Day
2000-11-23,NYSE,closed,,,Thanksgiving Day
2000-11-24,NYSE,short day,09:30,13:00,Black Friday
2000-12-25,NYSE,closed,,,Christmas Day
2001-01-01,NYSE,closed,,,New Year's Day
2001-01-15,NYSE,closed,,,Martin Luther King's Birthday
2001-02-19,NYSE,closed,,,Washington's Birthday
2001-04-13,NYSE,closed,,,Good Friday
2001-05-28,NYSE,closed,,,Memorial Day
2001-07-03,NYSE,short day,09:30,13:00,Independence Day
2001-07-04,NYSE,closed,,,Independence Day
2001-09-03,NYSE,closed,,,Labor Day
2001-09-11,NYSE,closed,,,Special Holiday
2001-09-12,NYSE,closed,,,Special Holiday
2001-09-13,NYSE,closed,,,Special Holiday
2001-09-14,NYSE,closed,,,Special Holiday
2001-11-22,NYSE,closed,,,Thanksgiving Day
2001-11-23,NYSE,short day,09:30,13:00,Black Friday
2001-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2001-12-25,NYSE,closed,,,Christmas Day
2002-01-01,NYSE,closed,,,New Year's Day
2002-01-21,NYSE,closed,,,Martin Luther King's Birthday
2002-02-18,NYSE,closed,,,Washington's Birthday
2002-03-29,NYSE,closed,,,Good Friday
2002-05-27,NYSE,closed,,,Memorial Day
2002-07-04,NYSE,closed,,,Independence Day
2002-07-05,NYSE,short day,09:30,13:00,Independence Day
2002-09-02,NYSE,closed,,,Labor Day
2002-09-11,NASDAQ,short day,11:00,16:00,September 11 Anniversary
2002-09-11,NYSE,short day,12:00,16:00,September 11 Anniversary
2002-11-28,NYSE,closed,,,Thanksgiving Day
2002-11-29,NYSE,short day,09:30,13:00,Black Friday
2002-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2002-12-25,NYSE,closed,,,Christmas Day
2003-01-01,NYSE,closed,,,New Year's Day
2003-01-20,NYSE,closed,,,Martin Luther King's Birthday
2003-02-17,NYSE,closed,,,Washington's Birthday
2003-04-18,NYSE,closed,,,Good Friday
2003-05-26,NYSE,closed,,,Memorial Day
2003-07-03,NYSE,short day,09:30,13:00,Independence Day
2003-07-04,NYSE,closed,,,Independence Day
2003-09-01,NYSE,closed,,,Labor Day
2003-11-27,NYSE,closed,,,Thanksgiving Day
2003-11-28,NYSE,short day,09:30,13:00,Black Friday
2003-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2003-12-25,NYSE,closed,,,Christmas Day
2003-12-26,NYSE,short day,09:30,13:00,Christmas Hangover
2004-01-01,NYSE,closed,,,New Year's Day
2004-01-19,NYSE,closed,,,Martin Luther King's Birthday
2004-02-16,NYSE,closed,,,Washington's Birthday
2004-04-09,NYSE,closed,,,Good Friday
2004-05-31,NYSE,closed,,,Memorial Day
2004-06-11,NYSE,closed,,,Exchange Holiday
2004-07-05,NYSE,closed,,,Independence Day Observed
2004-09-06,NYSE,closed,,,Labor Day
2004-11-25,NYSE,closed,,,Thanksgiving Day
2004-11-26,NYSE,short day,09:30,13:00,Black Friday
2004-12-24,NYSE,closed,,,Christmas Day Observed
2005-01-17,NYSE,closed,,,Martin Luther King's Birthday
2005-02-21,NYSE,closed,,,Washington's Birthday
2005-03-25,NYSE,closed,,,Good Friday
2005-05-30,NYSE,closed,,,Memorial Day
2005-07-04,NYSE,closed,,,Independence Day
2005-09-05,NYSE,closed,,,Labor Day
2005-11-24,NYSE,closed,,,Thanksgiving Day
2005-11-25,NYSE,short day,09:30,13:00,Black Friday
2005-12-26,NYSE,closed,,,Christmas Day Observed
2006-01-02,NYSE,closed,,,New Year's Day Observed
2006-01-16,NYSE,closed,,,Martin Luther King's Birthday
2006-02-20,NYSE,closed,,,Washington's Birthday
2006-04-14,NYSE,closed,,,Good Friday
2006-05-29,NYSE,closed,,,Memorial Day
2006-07-03,NYSE,short day,09:30,13:00,Independence Day
2006-07-04,NYSE,closed,,,Independence Day
2006-09-04,NYSE,closed,,,Labor Day
2006-11-23,NYSE,closed,,,Thanksgiving Day
2006-11-24,NYSE,short day,09:30,13:00,Black Friday
2006-12-25,NYSE,closed,,,Christmas Day
2007-01-01,NYSE,closed,,,New Year's Day
2007-01-02,NYSE,closed,,,Exchange Holiday
2007-01-15,NYSE,closed,,,Martin Luther King's Birthday
2007-02-19,NYSE,closed,,,Washington's Birthday
2007-04-06,NYSE,closed,,,Good Friday
2007-05-28,NYSE,closed,,,Memorial Day
2007-07-03,NYSE,short day,09:30,13:00,Independence Day
2007-07-04,NYSE,closed,,,Independence Day
2007-09-03,NYSE,closed,,,Labor Day
2007-11-22,NYSE,closed,,,Thanksgiving Day
2007-11-23,NYSE,short day,09:30,13:00,Black Friday
2007-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2007-12-25,NYSE,closed,,,Christmas Day
2008-01-01,NYSE,closed,,,New Year's Day
2008-01-21,NYSE,closed,,,Martin Luther King's Birthday
2008-02-18,NYSE,closed,,,Washington's Birthday
2008-03-21,NYSE,closed,,,Good Friday
2008-05-26,NYSE,closed,,,Memorial Day
2008-07-03,NYSE,short day,09:30,13:00,
2008-07-04,NYSE,closed,,,Independence Day
2008-09-01,NYSE,closed,,,Labor Day
2008-11-27,NYSE,closed,,,Thanksgiving Day
2008-11-28,NYSE,short day,09:30,13:00,Black Friday
2008-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2008-12-25,NYSE,closed,,,Christmas Day
2009-01-01,NYSE,closed,,,New Year's Day
2009-01-19,NYSE,closed,,,Martin Luther King's Birthday
2009-02-16,NYSE,closed,,,Washington's Birthday
2009-04-10,NYSE,closed,,,Good Friday
2009-05-25,NYSE,closed,,,Memorial Day
2009-07-03,NYSE,closed,,,Independence Day Observed
2009-09-07,NYSE,closed,,,Labor Day
2009-11-26,NYSE,closed,,,Thanksgiving Day
2009-11-27,NYSE,short day,09:30,13:00,Black Friday
2009-12-24,NYSE,short day,09:30,13:00,Christmas Eve
2009-12-25,NYSE,closed,,,Christmas Day
2010-01-01,NYSE,closed,,,New Year's Day
